kickoff_utc,week,away_team,home_team,venue,dome,capacity,wind_mph,wind_dir,temp_f,precip_pct,away_talent,home_talent,market_spread_home,market_total,model_margin_adjusted,model_total,ats_pick,ats_confidence,total_pick,total_confidence,ml_pick,ml_edge,adjustment_notes
2026-09-05T19:30:00.000Z,1,Texas State,Texas,DKR-Texas Memorial Stadium,no,100119,,,,,,,-30.5,,26.02982925494898,54.8,away,high,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T19:30:00.000Z,1,Boston College,Cincinnati,Nippert Stadium,no,40000,,,,,,,-9.5,,9.193956252973368,58.04,away,low,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T19:45:00.000Z,1,Oklahoma State,Tulsa,Chapman Stadium,no,30000,,,,,,,11.5,,-5.6959787967399285,49.28,home,high,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T20:15:00.000Z,1,Northern Illinois,Iowa,Kinnick Stadium,no,69250,,,,,,,-30.5,45.5,25.109038654837136,43.76,away,high,under,low,,-0.02121459720973251,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T22:00:00.000Z,1,Wyoming,Colorado State,Canvas Stadium,no,36500,,,,,,,-4,,1.9559576207026859,47.599999999999994,away,medium,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T23:00:00.000Z,1,Sam Houston,Troy,Veterans Memorial Stadium (AL),no,30000,,,,,,,-16.5,51.5,13.325710975966327,45.44,away,high,under,high,away,-0.08699874048342371,"blend of 3 margin source(s) (fitted weights): fei, team_rankings, predictiontracker; total from fei"
2026-09-05T23:00:00.000Z,1,Florida International,South Florida,Raymond James Stadium,no,65828,,,,,,,-12.5,54.5,13.850121032966364,51.2,home,medium,under,medium,,0.02337246190673037,"blend of 2 margin source(s) (fitted weights): espn_fpi, fei; total from fei"
2026-09-05T23:00:00.000Z,1,Arkansas State,Memphis,Simmons Bank Liberty Stadium,no,58325,,,,,,,-10.5,56.5,11.301224020960081,52.76,home,low,under,medium,,-0.017953015330708366,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T23:00:00.000Z,1,Missouri State,Texas A&M,Kyle Field,no,102733,,,,,,,-39.5,52.5,28.46747109614447,55.64,away,high,over,medium,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T23:30:00.000Z,1,Western Michigan,Michigan,Michigan Stadium,no,107601,,,,,,,-26.5,,19.517278948485416,50.84,away,high,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T23:30:00.000Z,1,Clemson,LSU,Tiger Stadium (LA),no,102321,,,,,,,-10,50.5,6.641488922611822,47.239999999999995,away,high,under,medium,away,-0.12735810124948121,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T23:30:00.000Z,1,UL Monroe,Mississippi State,Davis Wade Stadium,no,61337,,,,,,,-29.5,55.5,22.0254526025139,52.64,away,high,under,medium,,-0.03882152736114697,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T23:45:00.000Z,1,Florida Atlantic,Florida,Ben Hill Griffin Stadium,no,88548,,,,,,,-26.5,58.5,21.514326830725427,53.36,away,high,under,medium,,-0.021815236889689782,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-06T02:00:00.000Z,1,Central Michigan,New Mexico,University Stadium (NM),no,39224,,,,,,,-12.5,,9.298874983549851,49.760000000000005,away,high,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-06T02:00:00.000Z,1,UNLV,Hawai'i,Clarence T.C. Ching Athletics Complex,no,15194,,,,,,,1.5,58.5,-1.3966222239635997,55.76,home,low,under,medium,,-0.0023115887174721683,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-06T02:30:00.000Z,1,Western Kentucky,Nevada,Mackay Stadium,no,27000,,,,,,,3,52.5,-4.130501445537257,49.879999999999995,away,medium,under,medium,,-0.039813020307268354,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-06T02:30:00.000Z,1,UCLA,California,California Memorial Stadium,no,62467,,,,,,,-1.5,54.5,2.4610144726035883,53,home,low,under,low,home,0.05028734551357339,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-06T20:00:00.000Z,1,Washington State,Washington,Husky Stadium,no,70138,,,,,,,-21.5,,13.61580466530189,50.84,away,high,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-06T23:30:00.000Z,1,Wisconsin,Notre Dame,Lambeau Field,no,80735,,,,,,,-20.5,47.5,20.75796904871211,46.400000000000006,home,low,under,low,,-0.010872758113157022,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-06T23:30:00.000Z,1,Louisville,Ole Miss,Nissan Stadium,no,69143,,,,,,,-6.5,56.5,8.937238306874566,54.56,home,medium,under,low,,0.011612870736053882,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-07T23:30:00.000Z,1,SMU,Florida State,Doak Campbell Stadium,no,67277,,,,,,,2.5,52.5,0.43855836318553737,56.12,home,medium,over,medium,home,0.07442571179992169,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
